,Fall,College,Total,Male,Female,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
12315,1985,Engineering,59,47,12,53,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,3.0
12316,1985,Engineering,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
12317,1985,Engineering,5,3,2,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0
12318,1985,Engineering,104,91,13,64,10.0,2.0,1.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,41,63.0
12319,1986,Engineering,64,52,12,56,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,4.0
12320,1986,Engineering,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
12321,1986,Engineering,8,5,3,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0
12322,1986,Engineering,112,97,15,61,7.0,2.0,0.0,1.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,41,71.0
12323,1987,Engineering,55,45,10,47,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,51,4.0
12324,1987,Engineering,9,6,3,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2.0
12325,1987,Engineering,110,96,14,62,8.0,0.0,2.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,36,74.0
12326,1988,Engineering,45,39,6,33,3.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,41,4.0
12327,1988,Engineering,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
12328,1988,Engineering,9,6,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2.0
12329,1988,Engineering,111,93,18,51,10.0,0.0,1.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,41,70.0
12330,1989,Engineering,54,45,9,42,3.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,48,6.0
12331,1989,Engineering,7,6,1,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0
12332,1989,Engineering,106,90,16,42,10.0,1.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,31,75.0
12333,1990,Engineering,56,50,6,48,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,4.0
